VendorName,Total_Revenue,Total_Quantity_Sold,Average_Revenue_Per_Unit
ALTAMAR BRANDS LLC         ,84.94,6.0,14.156666666666666
AMERICAN VINTAGE BEVERAGE  ,402.69,31.0,12.99
ATLANTIC IMPORTING COMPANY ,258.92999999999995,7.0,36.989999999999995
BACARDI USA INC            ,60952.39,3961.0,16.75114928169894
BANFI PRODUCTS CORP        ,9078.69,831.0,11.231847826086955
BLACK PRINCE DISTILLERY INC,233.85,15.0,15.528461538461539
BROWN-FORMAN CORP          ,54052.13,2737.0,20.199291187739465
BULLY BOY DISTILLERS       ,59.98,2.0,29.99
CAMPARI AMERICA            ,12771.38,1262.0,18.49753768844221
CANDIA VINEYARDS           ,286.8,20.0,14.49
CASTLE BRANDS CORP.        ,3659.31,169.0,21.93890510948905
CENTEUR IMPORTS LLC        ,23.98,2.0,11.99
CHARLES JACQUIN ET CIE INC ,1397.6599999999999,114.0,12.472222222222221
CONSTELLATION BRANDS INC   ,49798.02,4660.0,11.334363207547169
CRUSH WINES                ,1258.62,88.0,14.926363636363638
DELICATO VINEYARDS INC     ,6737.21,479.0,14.462924187725632
DIAGEO CHATEAU ESTATE WINES,6600.87,585.0,11.647991967871485
DIAGEO NORTH AMERICA INC   ,150961.63999999998,17496.0,16.18464726196349
DISARONNO INTERNATIONAL LLC,4246.64,306.0,17.793973509933775
DJINN SPIRITS LLC          ,74.97,3.0,24.99
DUGGANS DISTILLED PRODUCTS ,414.32,18.0,23.02125
Dunn Wine Brokers          ,39.98,2.0,19.99
E & J GALLO WINERY         ,47605.83,4545.0,11.002709219858156
EDRINGTON AMERICAS         ,4940.73,127.0,41.10711711711712
FABRIZIA SPIRITS LLC       ,812.37,63.0,12.793921568627452
FLAG HILL WINERY & VINEYARD,1095.47,53.0,20.844166666666666
FORTUNE WINE BROKERS LLC   ,57.96,4.0,14.656666666666666
FREDERICK WILDMAN & SONS   ,2948.9900000000002,209.0,13.27295652173913
HAUNTING WHISPER VYDS      ,11.99,1.0,11.99
HEAVEN HILL DISTILLERIES   ,10014.619999999999,918.0,12.544565701559021
"HOOD RIVER DISTILLERS, Inc.",119.96,4.0,29.99
INCREDIBREW INC            ,26.48,2.0,13.24
JEWELL TOWNE VINEYARDS     ,531.55,45.0,12.14909090909091
JIM BEAM BRANDS COMPANY    ,88083.49,7821.0,14.9864353914704
KLIN SPIRITS LLC           ,419.78999999999996,21.0,19.99
KOBRAND CORPORATION        ,4390.82,268.0,17.82448275862069
LABELLE VYDS AND WINERY    ,397.75,25.0,15.89
LAIRD & CO                 ,192.35,15.0,15.031666666666666
LATITUDE BEVERAGE COMPANY  ,826.16,84.0,9.635833333333332
LUXCO INC                  ,7012.5199999999995,848.0,10.23842105263158
M S WALKER INC             ,40651.84,3846.0,12.207410714285714
MAJESTIC FINE WINES        ,6565.71,465.0,15.01812121212121
MANGO BOTTLING INC         ,69.93,7.0,9.99
MARSALLE COMPANY           ,379.87,13.0,30.389999999999997
MARTIGNETTI COMPANIES,80639.0,5270.0,16.27399643175736
MARTIGNETTI COMPANIES ,183.87,13.0,18.990000000000002
MCCORMICK DISTILLING CO    ,1108.26,74.0,15.103207547169811
MHW LTD                    ,5228.28,572.0,13.856141732283465
MOET HENNESSY USA INC      ,21030.23,727.0,32.12376288659794
MOONLIGHT MEADERY          ,143.89000000000001,11.0,13.080909090909092
NICHE W & S                ,395.52,48.0,10.474848484848483
OLE SMOKY DISTILLERY LLC   ,873.54,46.0,18.99
PALM BAY INTERNATIONAL INC ,6778.26,624.0,11.474375
PERFECTA WINES             ,10915.97,797.0,15.143333333333333
PERNOD RICARD USA          ,68294.83,3317.0,21.521482735274205
PHILLIPS PRODUCTS CO.      ,1582.6,240.0,9.436280991735536
PINE STATE TRADING CO      ,12398.289999999999,1421.0,11.001400651465797
POVERTY LANE ORCHARDS      ,107.91,9.0,11.99
PREMIER DISTRIBUTORS       ,197.91,9.0,22.418571428571425
"PREMIUM PORT WINES, INC.   ",143.88,12.0,11.89909090909091
PROXIMO SPIRITS INC.       ,22966.69,1641.0,16.19078226857888
PSP WINES ,207.81,19.0,13.614999999999998
REMY COINTREAU USA INC     ,9193.4,260.0,35.88285714285714
Russian Standard Vodka     ,497.89,111.0,9.01941176470588
SAZERAC CO INC             ,35598.36,3714.0,12.63724919093851
SAZERAC NORTH AMERICA INC. ,11915.24,1126.0,11.340519031141868
SEA BREEZE CELLARS LLC     ,271.84,16.0,16.99
SEA HAGG DISTILLERY LLC    ,311.81,19.0,20.56142857142857
SHAW ROSS INT L IMP LTD    ,1939.5,200.0,10.787752808988763
SIDNEY FRANK IMPORTING CO  ,11312.86,914.0,14.71875816993464
SMOKY QUARTZ DISTILLERY LLC,83.97,3.0,27.99
SOUTHERN WINE & SPIRITS NE ,10036.67,733.0,13.765735294117647
STATE WINE & SPIRITS   ,5614.01,399.0,14.347976653696497
STE MICHELLE WINE ESTATES  ,9211.69,741.0,12.933625730994153
STELLAR IMPORTING CO LLC   ,120.39,11.0,11.365
"STOLI GROUP,(USA) LLC      ",10146.939999999999,526.0,19.74181518151815
SURVILLE ENTERPRISES CORP  ,313.75,25.0,12.717272727272727
SWEET BABY VINEYARD        ,317.24,26.0,12.297692307692309
Serralles Usa LLC          ,346.80999999999995,19.0,18.70428571428571
TAKARA SAKE USA INC        ,94.35,15.0,6.29
TALL SHIP DISTILLERY LLC   ,83.97,3.0,27.99
THE PIERPONT GROUP LLC     ,110.94999999999999,5.0,22.189999999999998
TREASURY WINE ESTATES      ,8257.95,801.0,10.599591836734694
TRINCHERO FAMILY ESTATES   ,9196.880000000001,1006.0,9.408300653594772
ULTRA BEVERAGE COMPANY LLP ,47055.64,2756.0,18.10417208966016
VINEDREA WINES LLC         ,59.98,2.0,29.99
VINEXTRA INC               ,135.91,9.0,15.365
VINEYARD BRANDS INC        ,3325.15,285.0,12.075526315789475
VINILANDIA USA             ,2147.25,175.0,12.807757009345796
VRANKEN AMERICA            ,277.91,9.0,30.615000000000002
WEIN BAUER INC             ,549.78,22.0,24.99
WESTERN SPIRITS BEVERAGE CO,1083.34,66.0,16.498474576271185
WILLIAM GRANT & SONS INC   ,15577.83,797.0,29.2181173594132
WINE GROUP INC             ,20197.27,2123.0,10.473505154639174
ZORVINO VINEYARDS          ,217.82,18.0,11.99
